"locus","start","stop"
"Mnov_gtseq_361",234,235
"Mnov_gtseq_206",37,38
"Mnov_gtseq_206",49,50
"Mnov_gtseq_206",62,63
"Mnov_gtseq_206",129,130
"Mnov_gtseq_355",96,97
"Mnov_gtseq_355",129,130
"Mnov_gtseq_355",187,188
"Mnov_gtseq_356",129,130
"Mnov_gtseq_467",104,105
"Mnov_gtseq_467",129,130
"Mnov_gtseq_467",151,152
"Mnov_gtseq_467",163,164
"Mnov_gtseq_467",202,203
"Mnov_gtseq_467",205,206
"Mnov_gtseq_468",129,130
"Mnov_gtseq_358",113,114
"Mnov_gtseq_358",129,130
"Mnov_gtseq_120",129,130
"Mnov_gtseq_421",129,130
"Mnov_gtseq_421",175,176
"Mnov_gtseq_421",239,240
"Mnov_gtseq_299",129,130
"Mnov_gtseq_299",204,205
"Mnov_gtseq_373",129,130
"Mnov_gtseq_373",217,218
"Mnov_gtseq_533",129,130
"Mnov_gtseq_534",129,130
"Mnov_gtseq_147",99,100
"Mnov_gtseq_147",129,130
"Mnov_gtseq_147",200,201
"Mnov_gtseq_148",129,130
"Mnov_gtseq_148",155,156
"Mnov_gtseq_148",156,157
"Mnov_gtseq_148",241,242
"Mnov_gtseq_148",255,256
"Mnov_gtseq_151",129,130
"Mnov_gtseq_535",129,130
"Mnov_gtseq_535",144,145
"Mnov_gtseq_535",145,146
"Mnov_gtseq_535",146,147
"Mnov_gtseq_535",147,148
"Mnov_gtseq_535",148,149
"Mnov_gtseq_535",149,150
"Mnov_gtseq_535",150,151
"Mnov_gtseq_535",151,152
"Mnov_gtseq_535",152,153
"Mnov_gtseq_535",153,154
"Mnov_gtseq_535",174,175
"Mnov_gtseq_536",114,115
"Mnov_gtseq_536",129,130
"Mnov_gtseq_434",77,78
"Mnov_gtseq_434",129,130
"Mnov_gtseq_145",37,38
"Mnov_gtseq_145",62,63
"Mnov_gtseq_145",129,130
"Mnov_gtseq_149",129,130
"Mnov_gtseq_146",46,47
"Mnov_gtseq_146",129,130
"Mnov_gtseq_146",145,146
"Mnov_gtseq_146",149,150
"Mnov_gtseq_146",154,155
"Mnov_gtseq_146",210,211
"Mnov_gtseq_150",129,130
"Mnov_gtseq_150",191,192
"Mnov_gtseq_474",129,130
"Mnov_gtseq_325",42,43
"Mnov_gtseq_325",87,88
"Mnov_gtseq_325",129,130
"Mnov_gtseq_325",147,148
"Mnov_gtseq_327",129,130
"Mnov_gtseq_326",129,130
"Mnov_gtseq_27",129,130
"Mnov_gtseq_28",129,130
"Mnov_gtseq_28",192,193
"Mnov_gtseq_107",129,130
"Mnov_gtseq_106",123,124
"Mnov_gtseq_106",129,130
"Mnov_gtseq_109",127,128
"Mnov_gtseq_109",129,130
"Mnov_gtseq_109",171,172
"Mnov_gtseq_108",129,130
"Mnov_gtseq_553",129,130
"Mnov_gtseq_218",129,130
"Mnov_gtseq_218",216,217
"Mnov_gtseq_217",129,130
"Mnov_gtseq_215",13,14
"Mnov_gtseq_215",63,64
"Mnov_gtseq_215",129,130
"Mnov_gtseq_216",129,130
"Mnov_gtseq_32",129,130
"Mnov_gtseq_31",129,130
"Mnov_gtseq_31",137,138
"Mnov_gtseq_510",129,130
"Mnov_gtseq_399",129,130
"Mnov_gtseq_399",158,159
"Mnov_gtseq_399",167,168
"Mnov_gtseq_399",251,252
"Mnov_gtseq_33",129,130
"Mnov_gtseq_33",133,134
"Mnov_gtseq_66",129,130
"Mnov_gtseq_181",129,130
"Mnov_gtseq_181",135,136
"Mnov_gtseq_472",46,47
"Mnov_gtseq_472",129,130
"Mnov_gtseq_153",129,130
"Mnov_gtseq_153",151,152
"Mnov_gtseq_153",166,167
"Mnov_gtseq_153",208,209
"Mnov_gtseq_154",121,122
"Mnov_gtseq_154",129,130
"Mnov_gtseq_505",129,130
"Mnov_gtseq_505",181,182
"Mnov_gtseq_393",23,24
"Mnov_gtseq_393",129,130
"Mnov_gtseq_13",111,112
"Mnov_gtseq_13",129,130
"Mnov_gtseq_13",233,234
"Mnov_gtseq_428",129,130
"Mnov_gtseq_532",129,130
"Mnov_gtseq_430",52,53
"Mnov_gtseq_430",129,130
"Mnov_gtseq_430",137,138
"Mnov_gtseq_429",65,66
"Mnov_gtseq_429",129,130
"Mnov_gtseq_429",252,253
"Mnov_gtseq_427",129,130
"Mnov_gtseq_427",148,149
"Mnov_gtseq_427",216,217
"Mnov_gtseq_135",129,130
"Mnov_gtseq_134",129,130
"Mnov_gtseq_516",17,18
"Mnov_gtseq_516",106,107
"Mnov_gtseq_516",129,130
"Mnov_gtseq_61",51,52
"Mnov_gtseq_61",129,130
"Mnov_gtseq_61",139,140
"Mnov_gtseq_60",129,130
"Mnov_gtseq_58",48,49
"Mnov_gtseq_58",129,130
"Mnov_gtseq_59",107,108
"Mnov_gtseq_59",129,130
"Mnov_gtseq_541",92,93
"Mnov_gtseq_541",129,130
"Mnov_gtseq_541",150,151
"Mnov_gtseq_541",151,152
"Mnov_gtseq_541",152,153
"Mnov_gtseq_541",153,154
"Mnov_gtseq_541",154,155
"Mnov_gtseq_541",155,156
"Mnov_gtseq_541",156,157
"Mnov_gtseq_541",157,158
"Mnov_gtseq_541",158,159
"Mnov_gtseq_541",159,160
"Mnov_gtseq_542",124,125
"Mnov_gtseq_542",129,130
"Mnov_gtseq_542",172,173
"Mnov_gtseq_542",181,182
"Mnov_gtseq_542",188,189
"Mnov_gtseq_171",129,130
"Mnov_gtseq_171",162,163
"Mnov_gtseq_169",129,130
"Mnov_gtseq_169",130,131
"Mnov_gtseq_174",129,130
"Mnov_gtseq_172",129,130
"Mnov_gtseq_170",129,130
"Mnov_gtseq_173",129,130
"Mnov_gtseq_173",188,189
"Mnov_gtseq_168",129,130
"Mnov_gtseq_167",129,130
"Mnov_gtseq_167",148,149
"Mnov_gtseq_436",129,130
"Mnov_gtseq_436",146,147
"Mnov_gtseq_436",234,235
"Mnov_gtseq_437",115,116
"Mnov_gtseq_437",129,130
"Mnov_gtseq_437",151,152
"Mnov_gtseq_475",66,67
"Mnov_gtseq_475",79,80
"Mnov_gtseq_475",129,130
"Mnov_gtseq_475",142,143
"Mnov_gtseq_475",155,156
"Mnov_gtseq_475",165,166
"Mnov_gtseq_383",129,130
"Mnov_gtseq_447",129,130
"Mnov_gtseq_447",216,217
"Mnov_gtseq_229",129,130
"Mnov_gtseq_354",119,120
"Mnov_gtseq_354",129,130
"Mnov_gtseq_425",129,130
"Mnov_gtseq_425",159,160
"Mnov_gtseq_530",129,130
"Mnov_gtseq_531",129,130
"Mnov_gtseq_424",62,63
"Mnov_gtseq_424",105,106
"Mnov_gtseq_424",115,116
"Mnov_gtseq_424",129,130
"Mnov_gtseq_128",129,130
"Mnov_gtseq_128",181,182
"Mnov_gtseq_127",129,130
"Mnov_gtseq_426",129,130
"Mnov_gtseq_426",183,184
"Mnov_gtseq_423",113,114
"Mnov_gtseq_423",129,130
"Mnov_gtseq_423",132,133
"Mnov_gtseq_423",140,141
"Mnov_gtseq_259",129,130
"Mnov_gtseq_156",129,130
"Mnov_gtseq_155",129,130
"Mnov_gtseq_155",242,243
"Mnov_gtseq_550",129,130
"Mnov_gtseq_550",163,164
"Mnov_gtseq_550",164,165
"Mnov_gtseq_550",165,166
"Mnov_gtseq_550",166,167
"Mnov_gtseq_550",167,168
"Mnov_gtseq_550",168,169
"Mnov_gtseq_550",169,170
"Mnov_gtseq_550",170,171
"Mnov_gtseq_550",171,172
"Mnov_gtseq_550",172,173
"Mnov_gtseq_550",173,174
"Mnov_gtseq_550",174,175
"Mnov_gtseq_550",175,176
"Mnov_gtseq_550",176,177
"Mnov_gtseq_550",177,178
"Mnov_gtseq_550",178,179
"Mnov_gtseq_550",179,180
"Mnov_gtseq_550",180,181
"Mnov_gtseq_550",181,182
"Mnov_gtseq_550",182,183
"Mnov_gtseq_550",183,184
"Mnov_gtseq_550",184,185
"Mnov_gtseq_550",185,186
"Mnov_gtseq_550",186,187
"Mnov_gtseq_550",187,188
"Mnov_gtseq_550",188,189
"Mnov_gtseq_550",189,190
"Mnov_gtseq_550",190,191
"Mnov_gtseq_550",191,192
"Mnov_gtseq_550",192,193
"Mnov_gtseq_550",193,194
"Mnov_gtseq_550",194,195
"Mnov_gtseq_550",195,196
"Mnov_gtseq_550",196,197
"Mnov_gtseq_550",197,198
"Mnov_gtseq_550",198,199
"Mnov_gtseq_550",199,200
"Mnov_gtseq_550",200,201
"Mnov_gtseq_550",201,202
"Mnov_gtseq_550",202,203
"Mnov_gtseq_550",203,204
"Mnov_gtseq_550",204,205
"Mnov_gtseq_550",205,206
"Mnov_gtseq_550",206,207
"Mnov_gtseq_550",207,208
"Mnov_gtseq_550",208,209
"Mnov_gtseq_550",209,210
"Mnov_gtseq_550",210,211
"Mnov_gtseq_550",211,212
"Mnov_gtseq_550",212,213
"Mnov_gtseq_550",213,214
"Mnov_gtseq_550",214,215
"Mnov_gtseq_550",215,216
"Mnov_gtseq_550",216,217
"Mnov_gtseq_550",217,218
"Mnov_gtseq_550",218,219
"Mnov_gtseq_550",219,220
"Mnov_gtseq_550",220,221
"Mnov_gtseq_550",221,222
"Mnov_gtseq_550",222,223
"Mnov_gtseq_550",223,224
"Mnov_gtseq_550",224,225
"Mnov_gtseq_550",225,226
"Mnov_gtseq_550",226,227
"Mnov_gtseq_550",227,228
"Mnov_gtseq_550",228,229
"Mnov_gtseq_550",229,230
"Mnov_gtseq_550",230,231
"Mnov_gtseq_550",231,232
"Mnov_gtseq_550",232,233
"Mnov_gtseq_550",233,234
"Mnov_gtseq_550",234,235
"Mnov_gtseq_550",235,236
"Mnov_gtseq_550",236,237
"Mnov_gtseq_550",237,238
"Mnov_gtseq_550",238,239
"Mnov_gtseq_550",239,240
"Mnov_gtseq_550",240,241
"Mnov_gtseq_550",241,242
"Mnov_gtseq_550",242,243
"Mnov_gtseq_550",243,244
"Mnov_gtseq_550",244,245
"Mnov_gtseq_550",245,246
"Mnov_gtseq_550",246,247
"Mnov_gtseq_550",247,248
"Mnov_gtseq_550",248,249
"Mnov_gtseq_550",249,250
"Mnov_gtseq_550",250,251
"Mnov_gtseq_550",251,252
"Mnov_gtseq_550",252,253
"Mnov_gtseq_550",253,254
"Mnov_gtseq_550",254,255
"Mnov_gtseq_550",255,256
"Mnov_gtseq_550",256,257
"Mnov_gtseq_550",257,258
"Mnov_gtseq_550",258,259
"Mnov_gtseq_551",129,130
"Mnov_gtseq_210",129,130
"Mnov_gtseq_211",129,130
"Mnov_gtseq_211",178,179
"Mnov_gtseq_101",129,130
"Mnov_gtseq_102",129,130
"Mnov_gtseq_158",129,130
"Mnov_gtseq_96",129,130
"Mnov_gtseq_526",129,130
"Mnov_gtseq_419",129,130
"Mnov_gtseq_419",131,132
"Mnov_gtseq_419",183,184
"Mnov_gtseq_189",129,130
"Mnov_gtseq_190",129,130
"Mnov_gtseq_554",129,130
"Mnov_gtseq_554",147,148
"Mnov_gtseq_223",129,130
"Mnov_gtseq_222",108,109
"Mnov_gtseq_222",129,130
"Mnov_gtseq_224",129,130
"Mnov_gtseq_227",31,32
"Mnov_gtseq_227",129,130
"Mnov_gtseq_225",129,130
"Mnov_gtseq_444",129,130
"Mnov_gtseq_221",129,130
"Mnov_gtseq_220",54,55
"Mnov_gtseq_220",129,130
"Mnov_gtseq_226",129,130
"Mnov_gtseq_205",129,130
"Mnov_gtseq_205",139,140
"Mnov_gtseq_205",233,234
"Mnov_gtseq_204",129,130
"Mnov_gtseq_203",129,130
"Mnov_gtseq_288",129,130
"Mnov_gtseq_552",129,130
"Mnov_gtseq_214",129,130
"Mnov_gtseq_292",129,130
"Mnov_gtseq_339",129,130
"Mnov_gtseq_313",62,63
"Mnov_gtseq_313",129,130
"Mnov_gtseq_314",129,130
"Mnov_gtseq_78",129,130
"Mnov_gtseq_420",129,130
"Mnov_gtseq_420",179,180
"Mnov_gtseq_420",180,181
"Mnov_gtseq_420",181,182
"Mnov_gtseq_420",182,183
"Mnov_gtseq_420",183,184
"Mnov_gtseq_420",184,185
"Mnov_gtseq_420",185,186
"Mnov_gtseq_420",186,187
"Mnov_gtseq_420",187,188
"Mnov_gtseq_420",188,189
"Mnov_gtseq_99",129,130
"Mnov_gtseq_98",129,130
"Mnov_gtseq_351",129,130
"Mnov_gtseq_350",129,130
"Mnov_gtseq_466",129,130
"Mnov_gtseq_466",192,193
"Mnov_gtseq_466",255,256
"Mnov_gtseq_349",129,130
"Mnov_gtseq_352",129,130
"Mnov_gtseq_352",212,213
"Mnov_gtseq_353",129,130
"Mnov_gtseq_511",45,46
"Mnov_gtseq_511",129,130
"Mnov_gtseq_42",48,49
"Mnov_gtseq_42",129,130
"Mnov_gtseq_38",129,130
"Mnov_gtseq_44",129,130
"Mnov_gtseq_45",129,130
"Mnov_gtseq_41",129,130
"Mnov_gtseq_41",177,178
"Mnov_gtseq_40",129,130
"Mnov_gtseq_46",43,44
"Mnov_gtseq_46",70,71
"Mnov_gtseq_46",129,130
"Mnov_gtseq_401",129,130
"Mnov_gtseq_401",173,174
"Mnov_gtseq_37",129,130
"Mnov_gtseq_37",168,169
"Mnov_gtseq_43",129,130
"Mnov_gtseq_39",129,130
"Mnov_gtseq_450",129,130
"Mnov_gtseq_195",2,3
"Mnov_gtseq_195",33,34
"Mnov_gtseq_195",57,58
"Mnov_gtseq_195",129,130
"Mnov_gtseq_195",172,173
"Mnov_gtseq_195",183,184
"Mnov_gtseq_195",191,192
"Mnov_gtseq_195",194,195
"Mnov_gtseq_192",129,130
"Mnov_gtseq_547",129,130
"Mnov_gtseq_193",129,130
"Mnov_gtseq_194",129,130
"Mnov_gtseq_194",130,131
"Mnov_gtseq_194",239,240
"Mnov_gtseq_194",240,241
"Mnov_gtseq_194",241,242
"Mnov_gtseq_194",242,243
"Mnov_gtseq_194",243,244
"Mnov_gtseq_194",244,245
"Mnov_gtseq_194",245,246
"Mnov_gtseq_194",246,247
"Mnov_gtseq_194",247,248
"Mnov_gtseq_194",248,249
"Mnov_gtseq_194",249,250
"Mnov_gtseq_194",250,251
"Mnov_gtseq_194",251,252
"Mnov_gtseq_194",252,253
"Mnov_gtseq_194",253,254
"Mnov_gtseq_194",254,255
"Mnov_gtseq_194",255,256
"Mnov_gtseq_194",256,257
"Mnov_gtseq_194",257,258
"Mnov_gtseq_194",258,259
"Mnov_gtseq_191",129,130
"Mnov_gtseq_293",129,130
"Mnov_gtseq_180",103,104
"Mnov_gtseq_180",129,130
"Mnov_gtseq_312",129,130
"Mnov_gtseq_312",237,238
"Mnov_gtseq_442",129,130
"Mnov_gtseq_231",129,130
"Mnov_gtseq_232",58,59
"Mnov_gtseq_232",129,130
"Mnov_gtseq_517",129,130
"Mnov_gtseq_67",129,130
"Mnov_gtseq_94",129,130
"Mnov_gtseq_417",10,11
"Mnov_gtseq_417",129,130
"Mnov_gtseq_417",176,177
"Mnov_gtseq_417",184,185
"Mnov_gtseq_417",195,196
"Mnov_gtseq_418",129,130
"Mnov_gtseq_376",129,130
"Mnov_gtseq_376",212,213
"Mnov_gtseq_379",129,130
"Mnov_gtseq_375",129,130
"Mnov_gtseq_378",95,96
"Mnov_gtseq_378",129,130
"Mnov_gtseq_377",129,130
"Mnov_gtseq_111",109,110
"Mnov_gtseq_111",129,130
"Mnov_gtseq_110",129,130
"Mnov_gtseq_460",129,130
"Mnov_gtseq_460",246,247
"Mnov_gtseq_538",129,130
"Mnov_gtseq_157",129,130
"Mnov_gtseq_382",129,130
"Mnov_gtseq_277",129,130
"Mnov_gtseq_462",129,130
"Mnov_gtseq_462",149,150
"Mnov_gtseq_334",129,130
"Mnov_gtseq_336",129,130
"Mnov_gtseq_335",129,130
"Mnov_gtseq_82",129,130
"Mnov_gtseq_520",92,93
"Mnov_gtseq_520",98,99
"Mnov_gtseq_520",129,130
"Mnov_gtseq_521",129,130
"Mnov_gtseq_84",129,130
"Mnov_gtseq_84",177,178
"Mnov_gtseq_84",248,249
"Mnov_gtseq_83",129,130
"Mnov_gtseq_86",86,87
"Mnov_gtseq_86",129,130
"Mnov_gtseq_409",43,44
"Mnov_gtseq_409",69,70
"Mnov_gtseq_409",129,130
"Mnov_gtseq_409",137,138
"Mnov_gtseq_140",129,130
"Mnov_gtseq_141",129,130
"Mnov_gtseq_372",129,130
"Mnov_gtseq_440",47,48
"Mnov_gtseq_440",129,130
"Mnov_gtseq_440",153,154
"Mnov_gtseq_175",129,130
"Mnov_gtseq_543",3,4
"Mnov_gtseq_543",129,130
"Mnov_gtseq_543",170,171
"Mnov_gtseq_365",129,130
"Mnov_gtseq_364",129,130
"Mnov_gtseq_514",129,130
"Mnov_gtseq_515",129,130
"Mnov_gtseq_515",136,137
"Mnov_gtseq_55",85,86
"Mnov_gtseq_55",111,112
"Mnov_gtseq_55",128,129
"Mnov_gtseq_55",129,130
"Mnov_gtseq_57",95,96
"Mnov_gtseq_57",128,129
"Mnov_gtseq_57",129,130
"Mnov_gtseq_57",193,194
"Mnov_gtseq_54",129,130
"Mnov_gtseq_53",129,130
"Mnov_gtseq_56",129,130
"Mnov_gtseq_52",129,130
"Mnov_gtseq_402",129,130
"Mnov_gtseq_233",129,130
"Mnov_gtseq_251",129,130
"Mnov_gtseq_251",243,244
"Mnov_gtseq_250",129,130
"Mnov_gtseq_254",129,130
"Mnov_gtseq_252",129,130
"Mnov_gtseq_253",129,130
"Mnov_gtseq_255",129,130
"Mnov_gtseq_255",137,138
"Mnov_gtseq_249",129,130
"Mnov_gtseq_249",240,241
"Mnov_gtseq_366",129,130
"Mnov_gtseq_366",136,137
"Mnov_gtseq_470",129,130
"Mnov_gtseq_470",142,143
"Mnov_gtseq_368",129,130
"Mnov_gtseq_367",129,130
"Mnov_gtseq_294",129,130
"Mnov_gtseq_87",129,130
"Mnov_gtseq_305",39,40
"Mnov_gtseq_305",129,130
"Mnov_gtseq_311",129,130
"Mnov_gtseq_310",129,130
"Mnov_gtseq_308",129,130
"Mnov_gtseq_306",129,130
"Mnov_gtseq_304",129,130
"Mnov_gtseq_307",129,130
"Mnov_gtseq_307",169,170
"Mnov_gtseq_307",170,171
"Mnov_gtseq_307",171,172
"Mnov_gtseq_307",172,173
"Mnov_gtseq_307",173,174
"Mnov_gtseq_307",174,175
"Mnov_gtseq_307",175,176
"Mnov_gtseq_307",176,177
"Mnov_gtseq_307",177,178
"Mnov_gtseq_307",178,179
"Mnov_gtseq_307",179,180
"Mnov_gtseq_307",180,181
"Mnov_gtseq_307",181,182
"Mnov_gtseq_307",182,183
"Mnov_gtseq_307",183,184
"Mnov_gtseq_307",184,185
"Mnov_gtseq_307",185,186
"Mnov_gtseq_307",186,187
"Mnov_gtseq_307",187,188
