"","AnimalID","LABID","SEX","HAP","mito.haps","RunMS58","GTseq.prod.all","GTseq.val.all","RunMS51","RunMS54","RunMS43","RunMS45.90s"
"108","z0040363","z0040363","M","Aminus",NA,"","","1","1","","",""
"109","z0040334","z0040334","M","Aplus",NA,"","","1","1","","",""
"110","z0040345","z0040345","M","Aplus",NA,"","","1","2","","",""
"111","z0040413","z0040413","M","E14",NA,"","1","","","","",""
"112","z0040957","z0040957","M","E7",NA,"","1","","","","",""
"113","z0040337","z0040337","M","F2",NA,"","1","","","","",""
"114","z0040985","z0040985","M","F2",NA,"","","1","","1","",""
"115","z0041243","z0041243","M","A3",NA,"1","1","","","1","",""
"116","z0043747","z0043747","F","A3",NA,"","1","","","1","",""
"117","z0040961","z0040961","M","Aminus",NA,"","1","","","1","",""
"118","z0043819","z0043819","M","Aminus",NA,"2","1","","","1","",""
"119","z0043915","z0043915","M","Aminus",NA,"","1","","","1","",""
"120","z0041250","z0041250","F","Aplus",NA,"1","2","","","1","",""
"121","z0043789","z0043789","M","Aplus",NA,"","1","","","1","",""
"122","z0047854","z0047854","M","Aplus",NA,"","","1","","1","",""
"123","z0043876","z0043876","M","E1",NA,"","1","","","1","",""
"124","z0041051","z0041051","M","E5",NA,"","","1","","1","",""
"125","z0043243","z0043243","F","E5",NA,"2","1","","","1","",""
"126","z0043807","z0043807","F","F2",NA,"","1","","","1","",""
"127","z0043877","z0043877","F","F2",NA,"","1","","","1","",""
"128","z0040275","z0040275","F","Aminus",NA,"","1","","","1","",""
"129","z0040287","z0040287","M","Aminus",NA,"","1","","","1","",""
"130","z0041233","z0041233","M","Aminus",NA,"","1","","","1","",""
"131","z0043267","z0043267","F","Aminus",NA,"","1","","","1","",""
"132","z0043278","z0043278","M","Aminus",NA,"1","1","","","1","",""
"133","z0043566","z0043566","M","Aminus",NA,"1","1","","","1","",""
"134","z0043572","z0043572","F","Aminus",NA,"","1","","","1","",""
"135","z0043649","z0043649","M","Aminus",NA,"","1","","","1","",""
"136","z0043668","z0043668","M","Aminus",NA,"1","1","","","1","",""
"137","z0043684","z0043684","M","Aminus",NA,"","1","","","1","",""
"138","z0043693","z0043693","F","Aminus",NA,"1","1","","","1","",""
"139","z0043704","z0043704","F","Aminus",NA,"1","2","","","1","",""
"140","z0043954","z0043954","F","Aminus",NA,"","1","","","1","",""
"141","z0044432","z0044432","F","Aminus",NA,"2","1","","","1","",""
"142","z0047601","z0047601","M","Aminus",NA,"","1","","","1","",""
"143","z0041248","z0041248","M","Aplus",NA,"1","1","","","2","",""
"144","z0043599","z0043599","M","Aplus",NA,"1","1","","","1","",""
"145","z0043631","z0043631","M","Aplus",NA,"","1","","","1","",""
"146","z0043898","z0043898","F","Aplus",NA,"","1","","","1","",""
"147","z0043905","z0043905","F","Aplus",NA,"","1","","","1","",""
"148","z0043934","z0043934","M","Aplus",NA,"","1","","","1","",""
"149","z0043940","z0043940","F","Aplus",NA,"","2","","","2","",""
"150","z0043966","z0043966","F","Aplus",NA,"","","1","","1","",""
"151","z0043980","z0043980","F","Aplus",NA,"","2","","","1","",""
"152","z0047562","z0047562","M","Aplus",NA,"","","1","","1","",""
"153","z0043652","z0043652","M","E1",NA,"","1","","","1","",""
"154","z0043642","z0043642","M","F4",NA,"","2","","","1","",""
"155","z0043686","z0043686","F","HET",NA,"1","2","","","1","",""
"156","z0047613","z0047613","F","Aminus",NA,"","1","","","1","",""
"157","z0047602","z0047602","F","Aplus",NA,"","1","","","1","",""
"158","z0051840","z0051840","F","A3",NA,"","","1","","","",""
"159","z0051844","z0051844","M","Aplus",NA,"","1","","","","",""
"160","z0043765","z0043765","M","F2",NA,"","","1","","","",""
"161","z0051816","z0051816","F","F2",NA,"","1","","","","",""
"162","z0040333","z0040333","F","Aminus",NA,"","","1","","1","",""
"163","z0053024","z0053024","M","Aminus",NA,"","","1","","1","",""
"164","z0053025","z0053025","M","Aminus",NA,"1","","1","","1","",""
"165","z0053032","z0053032","F","Aminus",NA,"","","2","","1","",""
"166","z0053083","z0053083","M","Aminus",NA,"","","1","","1","",""
"167","z0053096","z0053096","M","Aminus",NA,"1","","1","","1","",""
"168","z0053101","z0053101","M","Aminus",NA,"1","","1","","1","",""
"169","z0053131","z0053131","F","Aminus",NA,"","","1","","1","",""
"170","z0053133","z0053133","M","Aminus",NA,"1","","1","","1","",""
"171","z0053138","z0053138","M","Aminus",NA,"1","","1","","1","",""
"172","z0053142","z0053142","M","Aminus",NA,"","","1","","1","",""
"173","z0053020","z0053020","M","Aplus",NA,"","","1","","1","",""
"174","z0053100","z0053100","M","Aplus",NA,"","","1","","1","",""
"175","z0053102","z0053102","F","Aplus",NA,"","","1","","1","",""
"176","z0053149","z0053149","M","Aplus",NA,"2","","1","","1","",""
"177","z0053031","z0053031","F","E2",NA,"","","1","","1","",""
"178","z0053040","z0053040","F","E2",NA,"","","1","","1","",""
"179","z0053071","z0053071","M","HET",NA,"","","1","","1","",""
"180","z0146081","z0146081","F","Aminus",NA,"","1","","","1","",""
"181","z0207765","z0207765","F","Aminus",NA,"","1","","","1","",""
"182","z0043468","z0043468","M","Aplus",NA,"","1","","","1","",""
"183","z0040298","z0040298","M","Aminus",NA,"","","","","","",""
"184","z0040364","z0040364","M","Aminus",NA,"","","1","","1","",""
"185","z0040377","z0040377","M","Aminus",NA,"","1","","","1","",""
"186","z0040387","z0040387","M","Aminus",NA,"1","1","","","1","",""
"187","z0040465","z0040465","F","Aminus",NA,"","1","","","1","",""
"188","z0040960","z0040960","M","Aminus",NA,"","1","","","2","",""
"189","z0041115","z0041115","M","Aminus",NA,"","1","","","1","",""
"190","z0041145","z0041145","F","Aminus",NA,"","2","","","1","",""
"191","z0041153","z0041153","F","Aminus",NA,"","1","","","1","",""
"192","z0041174","z0041174","M","Aminus",NA,"","1","","","1","",""
"193","z0041472","z0041472","M","Aminus",NA,"","1","","","2","",""
"194","z0041483","z0041483","F","Aminus",NA,"","1","","","1","",""
"195","z0041494","z0041494","F","Aminus",NA,"","2","","","1","",""
"196","z0041501","z0041501","F","Aminus",NA,"","1","","","1","",""
"197","z0041512","z0041512","M","Aminus",NA,"","1","","","1","",""
"198","z0041514","z0041514","F","Aminus",NA,"","1","","","1","",""
"199","z0041522","z0041522","M","Aminus",NA,"","1","","","1","",""
"200","z0041527","z0041527","M","Aminus",NA,"","1","","","1","",""
"201","z0043478","z0043478","F","Aminus",NA,"","1","","","1","",""
"202","z0043487","z0043487","M","Aminus",NA,"","1","","","1","",""
"203","z0043488","z0043488","M","Aminus",NA,"","1","","","1","",""
"204","z0043494","z0043494","M","Aminus",NA,"1","1","","","1","",""
"205","z0043498","z0043498","F","Aminus",NA,"1","1","","","1","",""
"206","z0043513","z0043513","M","Aminus",NA,"","1","","","1","",""
"207","z0044017","z0044017","M","Aminus",NA,"","1","","","1","",""
"208","z0044023","z0044023","F","Aminus",NA,"1","1","","","1","",""
"209","z0044033","z0044033","F","Aminus",NA,"1","1","","","1","",""
"210","z0044042","z0044042","F","Aminus",NA,"","2","","","1","",""
"211","z0044044","z0044044","F","Aminus",NA,"","1","","","1","",""
"212","z0044047","z0044047","M","Aminus",NA,"","1","","","1","",""
"213","z0044056","z0044056","M","Aminus",NA,"","1","","","","",""
"214","z0044059","z0044059","M","Aminus",NA,"","1","","","1","",""
"215","z0044064","z0044064","M","Aminus",NA,"","1","","","1","",""
"216","z0044074","z0044074","M","Aminus",NA,"","1","","","","",""
"217","z0045728","z0045728","M","Aminus",NA,"","1","","","1","",""
"218","z0045731","z0045731","F","Aminus",NA,"","2","","","1","",""
"219","z0045736","z0045736","M","Aminus",NA,"","1","","","1","",""
"220","z0045739","z0045739","M","Aminus",NA,"","1","","","1","",""
"221","z0045741","z0045741","M","Aminus",NA,"","1","","","1","",""
"222","z0045779","z0045779","F","Aminus",NA,"","1","","","1","",""
"223","z0045781","z0045781","M","Aminus",NA,"","1","","","1","",""
"224","z0045788","z0045788","F","Aminus",NA,"","2","","","","",""
"225","z0045789","z0045789","F","Aminus",NA,"","1","","","","",""
"226","z0045791","z0045791","F","Aminus",NA,"","1","","","","",""
"227","z0046923","z0046923","M","Aminus",NA,"","1","","","","",""
"228","z0046927","z0046927","M","Aminus",NA,"","1","","","","",""
"229","z0046929","z0046929","M","Aminus",NA,"","1","","","","",""
"230","z0052882","z0052882","F","Aminus",NA,"","1","","","1","",""
"231","z0053038","z0053038","M","Aminus",NA,"","1","","","1","",""
"232","z0053073","z0053073","M","Aminus",NA,"","1","","","1","",""
"233","z0053097","z0053097","M","Aminus",NA,"","1","","","","",""
"234","z0053103","z0053103","F","Aminus",NA,"","1","","","1","",""
"235","z0053132","z0053132","M","Aminus",NA,"","1","","","1","",""
"236","z0075691","z0075691","F","Aminus",NA,"","1","","","1","",""
"237","z0113607","z0113607","M","Aminus",NA,"","1","","","1","",""
"238","z0061536","z0146094","M","Aminus",NA,"","1","","","","",""
"239","z0038417","z0174005","M","Aminus",NA,"","1","","","1","",""
"240","z0041072","z0178363","M","Aminus",NA,"","","","","","",""
"241","z0040308","z0040308","F","Aplus",NA,"1","1","","","1","",""
"242","z0040403","z0040403","M","Aplus",NA,"","2","","","1","",""
"243","z0041026","z0041026","F","Aplus",NA,"","2","","","1","",""
"244","z0041274","z0041274","M","Aplus",NA,"1","2","","","1","",""
"245","z0041465","z0041465","F","Aplus",NA,"","1","","","1","",""
"246","z0041480","z0041480","F","Aplus",NA,"","1","","","1","",""
"247","z0041498","z0041498","M","Aplus",NA,"","1","","","1","",""
"248","z0041507","z0041507","M","Aplus",NA,"","1","","","1","",""
"249","z0043477","z0043477","M","Aplus",NA,"","2","","","1","",""
"250","z0043481","z0043481","M","Aplus",NA,"","1","","","1","",""
"251","z0043489","z0043489","M","Aplus",NA,"1","1","","","2","",""
"252","z0043491","z0043491","F","Aplus",NA,"","2","","","1","",""
"253","z0043493","z0043493","M","Aplus",NA,"","1","","","1","",""
"254","z0044019","z0044019","F","Aplus",NA,"","1","","","1","",""
"255","z0045719","z0045719","M","Aplus",NA,"","2","","","1","",""
"256","z0045720","z0045720","F","Aplus",NA,"","1","","","1","",""
"257","z0045733","z0045733","F","Aplus",NA,"","1","","","1","",""
"258","z0045740","z0045740","M","Aplus",NA,"","1","","","1","",""
"259","z0045742","z0045742","F","Aplus",NA,"","1","","","1","",""
"260","z0046934","z0046934","M","Aplus",NA,"","1","","","","",""
"261","z0053021","z0053021","M","Aplus",NA,"","1","","","","",""
"262","z0113619","z0113619","M","Aplus",NA,"","1","","","1","",""
"263","z0040357","z0040357","M","E2",NA,"","1","","","1","",""
"264","z0040439","z0040439","M","E2",NA,"","","1","","1","",""
"265","z0040451","z0040451","F","E2",NA,"","1","","","1","",""
"266","z0043504","z0043504","M","E2",NA,"","2","","","1","",""
"267","z0061982","z0061982","M","Aminus",NA,"1","1","","","2","",""
"268","z0207778","z0207778","F","Aminus",NA,"1","1","","","2","",""
"269","z0207777","z0207777","M","Aplus",NA,"1","1","","","2","",""
"270","z0175378","z0175378","M","Aminus",NA,"1","1","","","2","",""
"271","z0187885","z0187885","F","Aminus",NA,"","1","","","2","",""
"272","z0195655","z0195655","F","Aminus",NA,"1","","1","","2","",""
"273","z0051888","z0051888","M","Aplus",NA,"","1","","","2","",""
"274","z0195649","z0195649","F","Aplus",NA,"1","","1","","2","",""
"275","z0195688","z0195688","F","Aplus",NA,"1","","1","","2","",""
"276","z0196855","z0196855","M","Aplus",NA,"","","1","","2","",""
"277","z0196857","z0196857","M","Aplus",NA,"","","1","","2","",""
"278","z0196852","z0196852","F","F2",NA,"","","1","","2","",""
"279","z0196828","z0196828","F","F3",NA,"2","","1","","2","",""
"280","z0044009","z0044009","M","Aminus",NA,"","","","","","",""
"281","z0045710","z0045710","M","Aminus",NA,"","1","","","","",""
"282","z0041519","z0041519","M","Aplus",NA,"1","1","","","1","",""
"283","z0041521","z0041521","M","Aplus",NA,"","1","","","","",""
"284","z0043464","z0043464","M","Aminus",NA,"","1","","","","",""
"285","z0007446","z0007446",NA,NA,NA,"","1","","","","",""
"286","z0117063","z0117063","F",NA,NA,"","1","","","","",""
"287","z0143977","z0143977","F",NA,NA,"","1","","","","",""
"288","z0056095","z0056095","F","Aminus",NA,"","2","","","1","",""
"289","z0056111","z0056111","F","Aminus",NA,"","1","","","","",""
"290","z0056044","z0056044","M","Aplus",NA,"","1","","","","",""
"291","z0056056","z0056056","M","Aplus",NA,"","1","","","1","",""
"292","z0056062","z0056062","M","Aplus",NA,"","1","","","1","",""
"293","z0056069","z0056069","M","Aplus",NA,"1","1","","","1","",""
"294","z0056081","z0056081","M","Aplus",NA,"","1","","","","",""
"295","z0056083","z0056083","M","Aplus",NA,"","1","","","","",""
"296","z0056059","z0056059","M","E1",NA,"","1","","","1","",""
"297","z0056064","z0056064","M","E1",NA,"1","1","","","1","",""
"298","z0056066","z0056066","M","E1",NA,"","1","","","","",""
"299","z0056076","z0056076","M","E1",NA,"","1","","","","",""
"300","z0056085","z0056085","F","E1",NA,"","1","","","1","",""
"301","z0056090","z0056090","F","E3",NA,"","1","","","","",""
"302","z0056092","z0056092","M","E3",NA,"","1","","","1","",""
"303","z0056073","z0056073","F","E5",NA,"1","2","","","1","",""
"304","z0056100","z0056100","F","E5",NA,"","1","","","1","",""
"305","z0056110","z0056110","M","E5",NA,"","1","","","","",""
"306","z0056072","z0056072","M","E6",NA,"","1","","","","",""
"307","z0056079","z0056079","F","E6",NA,"","2","","","","",""
"308","z0056103","z0056103","M","E6",NA,"","1","","","","",""
"309","z0056104","z0056104","F","E6",NA,"","1","","","","",""
"310","z0056058","z0056058","M","F2",NA,"","1","","","","",""
"311","z0056065","z0056065","M","F2",NA,"1","1","","","1","",""
"312","z0056074","z0056074","M","F2",NA,"","1","","","","",""
"313","z0056093","z0056093","F","F2",NA,"","1","","","1","",""
"314","z0056102","z0056102","M","F2",NA,"","1","","","","",""
"315","z0056106","z0056106","F","F4",NA,"","2","","","","",""
"316","z0056063","z0056063","M","F6",NA,"","1","","","","",""
"317","z0061971","z0061971","F","Aplus",NA,"","1","","","","",""
"318","z0207776","z0207776","M","Aplus",NA,"","1","","","1","",""
"319","z0045344","z0045344","F","A3",NA,"","1","","","1","",""
"320","z0045371","z0045371","F","A3","MnMito01","","1","","","1","",""
"321","z0051431","z0051431","M","A3","MnMito01","","","1","","1","",""
"322","z0195694","z0195694","F","Aminus",NA,"","1","","","1","",""
"323","z0196856","z0196856","M","Aminus",NA,"","","1","","1","",""
"324","z0016577","z0016577","F","Aplus","MnMito03","1","1","","","1","",""
"325","z0016579","z0016579","M","Aplus","MnMito03","","1","","","1","",""
"326","z0029860","z0029860","M","Aplus","MnMito06","1","1","","","1","",""
"327","z0051885","z0051885","M","Aplus","MnMito04","","1","","","1","",""
"328","z0053054","z0053054","F","Aplus","MnMito03","","1","","","1","",""
"329","z0101181","z0101181","M","Aplus",NA,"","","","","","",""
"330","z0145207","z0145207","M","Aplus",NA,"","1","","","","",""
"331","z0175351","z0175351","M","Aplus",NA,"","1","","","1","",""
"332","z0175940","z0175940","M","Aplus",NA,"","","","","","",""
"333","z0195652","z0195652","M","Aplus",NA,"","","1","","1","",""
"334","z0195658","z0195658","F","Aplus",NA,"","1","","","2","",""
"335","z0195660","z0195660","M","Aplus",NA,"","1","","","1","",""
"336","z0195661","z0195661","M","Aplus",NA,"","1","","","1","",""
"337","z0195704","z0195704","F","Aplus",NA,"","","1","","1","",""
"338","z0195705","z0195705","M","Aplus",NA,"2","1","","","1","",""
"339","z0195740","z0195740","M","Aplus",NA,"","1","","","1","",""
"340","z0197666","z0197666","F","Aplus",NA,"","1","","","","",""
"341","z0197669","z0197669","M","Aplus",NA,"","1","","","1","",""
"342","z0029828","z0029828","F","E1",NA,"1","1","","","1","",""
"343","z0045399","z0045399","M","E1","MnMito14","","1","","","1","",""
"344","z0045793","z0045793","M","E1","MnMito08","","1","","","1","",""
"345","z0053051","z0053051","M","E1",NA,"","1","","","1","",""
"346","z0056070","z0056070","M","E1","MnMito08","","1","","","1","",""
"347","z0108473","z0108473","M","E1","MnMito08","","1","","","","",""
"348","z0108494","z0108494","F","E1","MnMito08","","1","","","1","",""
"349","z0175354","z0175354","M","E1",NA,"","1","","","1","",""
"350","z0005758","z0005758","M","E1_E11","MnMito13N","2","1","","","1","",""
"351","z0175381","z0175381","F","E1_E11",NA,"","1","","","","",""
"352","z0187843","z0187843","F","E1_E11",NA,"","","","","","",""
"353","z0187882","z0187882","M","E1_E11",NA,"","","","","","",""
"354","z0195701","z0195701","F","E1_E11",NA,"","","1","","1","",""
"355","z0195737","z0195737","M","E1_E11",NA,"","1","","","1","",""
"356","z0195760","z0195760","M","E1_E11",NA,"","1","","","1","",""
"357","z0196715","z0196715","F","E1_E11",NA,"","1","","","1","",""
"358","z0196719","z0196719","M","E1_E11",NA,"","","1","","1","",""
"359","z0196724","z0196724","F","E1_E11",NA,"","1","","","1","",""
"360","z0196725","z0196725","F","E1_E11",NA,"","1","","","2","",""
"361","z0196739","z0196739","M","E1_E11",NA,"","1","","","1","",""
"362","z0196751","z0196751","F","E1_E11",NA,"","1","","","1","",""
"363","z0196763","z0196763","F","E1_E11",NA,"","","1","","1","",""
"364","z0196764","z0196764","F","E1_E11",NA,"","","1","","1","",""
"365","z0196824","z0196824","M","E1_E11",NA,"","1","","","1","",""
"366","z0196841","z0196841","M","E1_E11",NA,"","1","","","","",""
"367","z0196843","z0196843","M","E1_E11",NA,"","","1","","1","",""
"368","z0061969","z0061969","M","E10","MnMito15","1","1","","","1","",""
"369","z0195691","z0195691","M","E10",NA,"1","","1","","1","",""
"370","z0068471","z0068471","M","E13","z0068471","","2","","","","",""
"371","z0101101","z0101101","M","E13","MnMito17","","1","","","","",""
"372","z0108516","z0108516","M","E13","MnMito17","","1","","","1","",""
"373","z0196740","z0196740","F","E13",NA,"","","1","","1","",""
"374","z0196829","z0196829","M","E13",NA,"1","1","","","1","",""
"375","z0197672","z0197672","M","E15",NA,"","1","","","1","",""
"376","z0037607","z0037607","M","E2","MnMito20N","","1","","","1","",""
"377","z0196864","z0196864","M","E2",NA,"","1","","","1","",""
"378","z0197668","z0197668","F","E3",NA,"","1","","","1","",""
"379","z0037610","z0037610","M","E4","MnMito22","","1","","","1","",""
"380","z0045317","z0045317","F","E4",NA,"","1","","","","",""
"381","z0051327","z0051327","M","E4","MnMito51","","","1","","1","",""
"382","z0051400","z0051400","M","E4","MnMito22","","2","","","2","",""
"383","z0051875","z0051875","F","E4","MnMito22","1","1","","","1","",""
"384","z0051918","z0051918","F","E4","MnMito22","1","1","","","1","",""
"385","z0051939","z0051939","F","E4",NA,"","1","","","","",""
"386","z0187851","z0187851","M","E4",NA,"","","","","","",""
"387","z0195642","z0195642","F","E4",NA,"","1","","","1","",""
"388","z0195663","z0195663","M","E4",NA,"2","","1","","1","",""
"389","z0195687","z0195687","F","E4",NA,"","1","","","1","",""
"390","z0195725","z0195725","M","E4",NA,"","1","","","1","",""
"391","z0037609","z0037609","M","E5","MnMito23","","1","","","2","",""
"392","z0045407","z0045407","F","E5","MnMito51","1","1","","","1","",""
"393","z0187837","z0187837","M","E5",NA,"","1","","","","",""
"394","z0196734","z0196734","M","E5",NA,"","","1","","1","",""
"395","z0029861","z0029861","M","E6","MnMito25","","2","","","1","",""
"396","z0045405","z0045405","M","E6","MnMito25","","1","","","1","",""
"397","z0175914","z0175914","F","E6",NA,"","2","","","1","",""
"398","z0195711","z0195711","M","E6",NA,"","1","","","1","",""
"399","z0195753","z0195753","F","E6",NA,"","2","","","1","",""
"400","z0195784","z0195784","M","E6",NA,"1","","1","","1","",""
"401","z0029865","z0029865","M","E7","MnMito26","","1","","","1","",""
"402","z0051399","z0051399","F","E7",NA,"","1","","","1","",""
"403","z0051932","z0051932","M","E7","MnMito27","","1","","","1","",""
"404","z0051959","z0051959","F","E7",NA,"1","1","","","1","",""
"405","z0195718","z0195718","M","E7",NA,"","1","","","1","",""
"406","z0195754","z0195754","M","E7",NA,"","1","","","1","",""
"407","z0195762","z0195762","F","E7",NA,"1","","1","","1","",""
"408","z0195764","z0195764","M","E7",NA,"","1","","","1","",""
"409","z0195783","z0195783","M","E7",NA,"","1","","","1","",""
"410","z0196894","z0196894","F","E7",NA,"1","2","","","1","",""
"411","z0045398","z0045398","M","F1","MnMito28N","1","2","","","1","",""
"412","z0045404","z0045404","F","F1",NA,"","1","","","1","",""
"413","z0195683","z0195683","M","F1",NA,"1","","1","","1","",""
