"","labID","RunMS58.replicates.merged","RunMS58.MS51.merged","RunMS58.MS51.MS45.90s.merged","RunMS58.MS51.MS45.90s.MS54.merged","RunMS58.MS51.MS45.90s.MS54.GTseq.val.merged","RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged","max.genos","MS58.max","MS51.max","MS45.max","MS54.max","GTseq.val.max","GTseq.prod.max","run.to.use"
"43","z0051895",321,321,321,322,322,322,322,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"44","z0051918",319,319,319,320,320,320,320,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"45","z0051929",319,319,319,319,319,319,319,1,1,1,1,1,1,"RunMS58.replicates.merged"
"46","z0051959",313,313,313,315,315,315,315,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"47","z0053025",306,306,306,306,307,307,307,0,0,0,0,1,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.merged"
"48","z0053055",318,318,318,318,318,318,318,1,1,1,1,1,1,"RunMS58.replicates.merged"
"49","z0053082",315,315,315,315,315,315,315,1,1,1,1,1,1,"RunMS58.replicates.merged"
"50","z0053096",322,322,322,322,322,322,322,1,1,1,1,1,1,"RunMS58.replicates.merged"
"51","z0053101",319,319,319,319,319,319,319,1,1,1,1,1,1,"RunMS58.replicates.merged"
"52","z0053133",319,319,319,319,319,319,319,1,1,1,1,1,1,"RunMS58.replicates.merged"
"53","z0053138",320,320,320,320,320,320,320,1,1,1,1,1,1,"RunMS58.replicates.merged"
"54","z0053149",320,320,320,320,320,320,320,1,1,1,1,1,1,"RunMS58.replicates.merged"
"55","z0053756",315,317,317,317,317,317,317,0,1,1,1,1,1,"RunMS58.MS51.merged"
"56","z0053760",320,320,320,320,320,320,320,1,1,1,1,1,1,"RunMS58.replicates.merged"
"57","z0053842",313,314,314,314,314,315,315,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"58","z0053845",75,117,117,117,117,117,117,0,1,1,1,1,1,"RunMS58.MS51.merged"
"59","z0053846",311,311,311,311,311,311,311,1,1,1,1,1,1,"RunMS58.replicates.merged"
"60","z0056034",317,317,317,318,317,317,318,0,0,0,1,0,0,"RunMS58.MS51.MS45.90s.MS54.merged"
"61","z0056064",321,321,321,321,321,322,322,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"62","z0056065",321,321,321,321,321,322,322,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"63","z0056069",321,321,321,321,321,321,321,1,1,1,1,1,1,"RunMS58.replicates.merged"
"64","z0056073",321,321,321,321,321,321,321,1,1,1,1,1,1,"RunMS58.replicates.merged"
"65","z0056374",294,296,296,296,296,296,296,0,1,1,1,1,1,"RunMS58.MS51.merged"
"66","z0056389",316,318,318,318,318,318,318,0,1,1,1,1,1,"RunMS58.MS51.merged"
"67","z0061527",312,312,312,312,312,312,312,1,1,1,1,1,1,"RunMS58.replicates.merged"
"68","z0061969",319,319,319,319,319,319,319,1,1,1,1,1,1,"RunMS58.replicates.merged"
"69","z0061982",1,1,1,1,1,2,2,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"70","z0066805",315,315,315,315,316,316,316,0,0,0,0,1,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.merged"
"71","z0107078",319,319,319,319,319,319,319,1,1,1,1,1,1,"RunMS58.replicates.merged"
"72","z0108510",319,319,319,319,319,319,319,1,1,1,1,1,1,"RunMS58.replicates.merged"
"73","z0108513",320,320,320,320,320,321,321,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"74","z0113628",315,315,315,314,314,314,315,1,1,1,0,0,0,"RunMS58.replicates.merged"
"75","z0146087",215,215,215,217,217,217,217,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"76","z0175378",322,322,322,322,322,322,322,1,1,1,1,1,1,"RunMS58.replicates.merged"
"77","z0175912",302,304,304,304,304,304,304,0,1,1,1,1,1,"RunMS58.MS51.merged"
"78","z0175915",319,319,319,319,319,319,319,1,1,1,1,1,1,"RunMS58.replicates.merged"
"79","z0175916",312,314,314,314,314,314,314,0,1,1,1,1,1,"RunMS58.MS51.merged"
"80","z0175927",322,322,322,322,322,322,322,1,1,1,1,1,1,"RunMS58.replicates.merged"
"81","z0187811",320,320,320,320,320,320,320,1,1,1,1,1,1,"RunMS58.replicates.merged"
"82","z0187857",308,309,313,313,313,313,313,0,0,1,1,1,1,"RunMS58.MS51.MS45.90s.merged"
"83","z0187859",321,321,321,321,321,321,321,1,1,1,1,1,1,"RunMS58.replicates.merged"
"84","z0187911",308,308,308,308,308,308,308,1,1,1,1,1,1,"RunMS58.replicates.merged"
"85","z0195258",320,320,320,320,320,320,320,1,1,1,1,1,1,"RunMS58.replicates.merged"
"86","z0195643",311,312,312,314,314,314,314,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"87","z0195648",311,311,311,312,312,312,312,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"88","z0195649",32,32,32,40,45,45,45,0,0,0,0,1,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.merged"
"89","z0195653",312,315,315,316,316,317,317,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"90","z0195655",321,321,321,321,321,321,321,1,1,1,1,1,1,"RunMS58.replicates.merged"
"91","z0195657",233,240,240,263,263,265,265,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"92","z0195659",251,257,257,275,275,275,275,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"93","z0195663",318,318,318,318,319,319,319,0,0,0,0,1,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.merged"
"94","z0195664",321,321,321,321,321,321,321,1,1,1,1,1,1,"RunMS58.replicates.merged"
"95","z0195668",311,311,311,314,314,314,314,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"96","z0195670",313,313,313,314,314,314,314,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"97","z0195671",308,308,308,312,312,312,312,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"98","z0195672",311,311,311,313,313,313,313,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"99","z0195673",315,316,316,318,318,318,318,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"100","z0195675",286,284,284,289,289,289,289,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"101","z0195678",319,319,319,318,318,318,319,1,1,1,0,0,0,"RunMS58.replicates.merged"
"102","z0195682",313,313,313,315,315,315,315,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"103","z0195683",316,316,316,316,317,317,317,0,0,0,0,1,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.merged"
"104","z0195684",309,309,309,313,313,313,313,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"105","z0195688",322,322,322,322,322,322,322,1,1,1,1,1,1,"RunMS58.replicates.merged"
"106","z0195689",312,312,312,312,312,313,313,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"107","z0195691",320,320,320,320,320,320,320,1,1,1,1,1,1,"RunMS58.replicates.merged"
"108","z0195693",315,315,315,315,315,315,315,1,1,1,1,1,1,"RunMS58.replicates.merged"
"109","z0195705",317,317,317,318,318,319,319,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"110","z0195736",310,311,311,311,311,314,314,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"111","z0195751",316,316,316,316,316,317,317,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"112","z0195755",317,317,317,317,317,317,317,1,1,1,1,1,1,"RunMS58.replicates.merged"
"113","z0195756",317,317,317,317,317,318,318,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"114","z0195762",316,316,316,316,316,316,316,1,1,1,1,1,1,"RunMS58.replicates.merged"
"115","z0195767",320,320,320,320,320,320,320,1,1,1,1,1,1,"RunMS58.replicates.merged"
"116","z0195770",120,120,120,120,120,165,165,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"117","z0195771",311,313,313,313,313,313,313,0,1,1,1,1,1,"RunMS58.MS51.merged"
"118","z0195772",320,319,319,319,319,319,320,1,0,0,0,0,0,"RunMS58.replicates.merged"
"119","z0195773",313,313,313,313,313,315,315,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"120","z0195776",303,305,305,305,305,304,305,0,1,1,1,1,0,"RunMS58.MS51.merged"
"121","z0195777",306,306,310,310,310,311,311,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"122","z0195778",316,316,316,316,316,317,317,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"123","z0195784",319,319,319,319,320,320,320,0,0,0,0,1,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.merged"
"124","z0195791",319,319,319,319,319,319,319,1,1,1,1,1,1,"RunMS58.replicates.merged"
"125","z0196805",318,318,318,318,318,318,318,1,1,1,1,1,1,"RunMS58.replicates.merged"
"126","z0196810",317,317,317,317,317,317,317,1,1,1,1,1,1,"RunMS58.replicates.merged"
"127","z0196811",316,317,317,317,317,317,317,0,1,1,1,1,1,"RunMS58.MS51.merged"
"128","z0196828",319,319,319,319,319,319,319,1,1,1,1,1,1,"RunMS58.replicates.merged"
"129","z0196829",321,321,321,321,321,321,321,1,1,1,1,1,1,"RunMS58.replicates.merged"
"130","z0196838",315,316,316,316,316,316,316,0,1,1,1,1,1,"RunMS58.MS51.merged"
"131","z0196839",314,314,314,314,314,314,314,1,1,1,1,1,1,"RunMS58.replicates.merged"
"132","z0196846",314,314,314,314,314,315,315,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"133","z0196847",319,320,320,320,320,320,320,0,1,1,1,1,1,"RunMS58.MS51.merged"
"134","z0196851",316,316,316,316,316,319,319,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"135","z0196887",317,318,318,318,318,318,318,0,1,1,1,1,1,"RunMS58.MS51.merged"
"136","z0196891",314,314,314,314,314,314,314,1,1,1,1,1,1,"RunMS58.replicates.merged"
"137","z0196894",317,317,317,319,319,319,319,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"138","z0197660",310,310,310,310,310,310,310,1,1,1,1,1,1,"RunMS58.replicates.merged"
"139","z0197664",320,320,320,320,320,320,320,1,1,1,1,1,1,"RunMS58.replicates.merged"
"140","z0197682",145,147,262,262,262,262,262,0,0,1,1,1,1,"RunMS58.MS51.MS45.90s.merged"
"141","z0207777",112,112,112,114,114,115,115,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"142","z0207778",313,313,313,314,314,314,314,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"143","z0011944",NA,316,316,316,316,318,318,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"144","z0016578",NA,254,254,254,254,254,254,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"145","z0018264",NA,320,320,320,321,321,321,NA,0,0,0,1,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.merged"
"146","z0029829",NA,278,278,278,278,278,278,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"147","z0029833",NA,321,321,321,321,321,321,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"148","z0029846",NA,54,54,54,54,276,276,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"149","z0029864",NA,239,239,239,239,294,294,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"150","z0037611",NA,40,40,40,40,42,42,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"151","z0037624",NA,173,173,173,173,255,255,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"152","z0040334",NA,306,306,306,316,316,316,NA,0,0,0,1,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.merged"
"153","z0040345",NA,312,312,312,318,318,318,NA,0,0,0,1,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.merged"
"154","z0040363",NA,254,254,254,255,255,255,NA,0,0,0,1,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.merged"
"155","z0045329",NA,320,320,320,320,320,320,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"156","z0045331",NA,288,302,302,302,302,302,NA,0,1,1,1,1,"RunMS58.MS51.MS45.90s.merged"
"157","z0045332",NA,300,300,300,300,316,316,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"158","z0045333",NA,210,210,210,210,300,300,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"159","z0045337",NA,303,303,303,303,305,305,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"160","z0045342",NA,279,279,279,279,279,279,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"161","z0045350",NA,319,319,319,319,319,319,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"162","z0045357",NA,321,321,321,321,321,321,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"163","z0045358",NA,313,313,313,313,316,316,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"164","z0045401",NA,1,237,237,237,238,238,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"165","z0045792",NA,17,17,17,17,248,248,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"166","z0051185",NA,303,303,303,303,320,320,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"167","z0051324",NA,112,112,112,112,300,300,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"168","z0051402",NA,321,321,321,321,321,321,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"169","z0051404",NA,294,294,294,294,294,294,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"170","z0051891",NA,312,312,312,312,319,319,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"171","z0051893",NA,309,309,309,309,309,309,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"172","z0051898",NA,319,319,319,319,320,320,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"173","z0051899",NA,302,302,302,302,302,302,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"174","z0051947",NA,310,310,310,310,310,310,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"175","z0051968",NA,300,300,300,300,300,300,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"176","z0053754",NA,317,317,317,317,317,317,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"177","z0053757",NA,141,141,141,141,142,142,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"178","z0053758",NA,238,238,238,238,264,264,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"179","z0053759",NA,317,317,317,317,319,319,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"180","z0053843",NA,300,300,300,300,300,300,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"181","z0053844",NA,276,276,276,276,293,293,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"182","z0053847",NA,315,315,315,318,318,318,NA,0,0,0,1,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.merged"
"183","z0053849",NA,306,306,306,306,317,317,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"184","z0056375",NA,314,314,314,314,320,320,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"185","z0056377",NA,315,315,315,315,319,319,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"186","z0056378",NA,315,315,315,315,317,317,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"187","z0056380",NA,1,1,1,1,1,1,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"188","z0056382",NA,306,306,306,306,318,318,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"189","z0056384",NA,309,309,309,309,309,309,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"190","z0056386",NA,291,291,291,291,294,294,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"191","z0056391",NA,317,317,317,317,317,317,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"192","z0056392",NA,221,282,282,282,282,282,NA,0,1,1,1,1,"RunMS58.MS51.MS45.90s.merged"
"193","z0056393",NA,292,292,292,292,292,292,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"194","z0056394",NA,318,318,318,318,319,319,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"195","z0056395",NA,266,266,266,266,316,316,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"196","z0056397",NA,318,318,318,318,318,318,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"197","z0056399",NA,312,312,312,312,317,317,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"198","z0061980",NA,316,316,316,316,317,317,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"199","z0066792",NA,309,309,309,312,312,312,NA,0,0,0,1,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.merged"
"200","z0107055",NA,320,320,320,320,320,320,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"201","z0107073",NA,321,321,321,321,321,321,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"202","z0107080",NA,306,306,306,306,315,315,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"203","z0107101",NA,289,289,289,289,319,319,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"204","z0108480",NA,312,312,312,312,315,315,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"205","z0108489",NA,238,238,238,238,317,317,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"206","z0108508",NA,317,317,317,317,317,317,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"207","z0133302",NA,261,261,261,261,262,262,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"208","z0173485",NA,308,308,308,308,317,317,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"209","z0175377",NA,316,316,316,316,316,316,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"210","z0175928",NA,317,317,317,317,317,317,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"211","z0175937",NA,316,316,316,316,316,316,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"212","z0178294",NA,1,1,1,1,1,1,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"213","z0178296",NA,1,1,1,1,309,309,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"214","z0178348",NA,281,281,281,281,281,281,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"215","z0187842",NA,313,313,313,313,319,319,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"216","z0187860",NA,321,321,321,321,321,321,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"217","z0187868",NA,253,253,253,253,263,263,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"218","z0187906",NA,288,288,288,288,288,288,NA,1,1,1,1,1,"RunMS58.MS51.merged"
"219","z0195644",NA,264,264,302,302,303,303,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"220","z0195650",NA,24,24,266,266,266,266,NA,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"221","z0195651",NA,80,80,281,281,281,281,NA,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"222","z0195665",NA,1,1,11,11,70,70,NA,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
