,LABID,genos,YR,MO,DA,date,julian.date,Run
71,z0195681,108,2018,7,9,7/9/18,190,RunMS51
72,z0195681,171,2018,7,9,7/9/18,190,RunMS54
73,z0195682,197,2018,7,9,7/9/18,190,RunMS51
74,z0195682,258,2018,7,9,7/9/18,190,RunMS54
75,z0195683,313,2018,7,9,7/9/18,190,GTseq.val
76,z0195683,74,2018,7,9,7/9/18,190,RunMS54
77,z0195684,114,2018,7,9,7/9/18,190,RunMS51
78,z0195684,222,2018,7,9,7/9/18,190,RunMS54
79,z0195685,121,2018,7,9,7/9/18,190,RunMS51
80,z0195686,124,2018,7,9,7/9/18,190,RunMS51
81,z0195687,279,2018,7,9,7/9/18,190,RunMS54
82,z0195688,308,2018,7,10,7/10/18,191,GTseq.val
83,z0195688,100,2018,7,10,7/10/18,191,RunMS54
84,z0195689,306,2018,7,10,7/10/18,191,RunMS51
85,z0195690,106,2018,7,10,7/10/18,191,RunMS51
86,z0195691,218,2018,7,10,7/10/18,191,GTseq.val
87,z0195691,303,2018,7,10,7/10/18,191,RunMS54
88,z0195693,148,2018,7,14,7/14/18,195,RunMS51
89,z0195694,192,2018,7,17,7/17/18,198,RunMS54
90,z0195695,88,2018,7,17,7/17/18,198,RunMS51
91,z0195697,335,2018,7,26,7/26/18,207,RunMS51
92,z0195699,314,2018,7,28,7/28/18,209,GTseq.val
93,z0195699,337,2018,7,28,7/28/18,209,RunMS54
94,z0195700,338,2018,7,28,7/28/18,209,RunMS51
95,z0195701,317,2018,7,29,7/29/18,210,GTseq.val
96,z0195701,336,2018,7,29,7/29/18,210,RunMS54
97,z0195702,338,2018,7,29,7/29/18,210,RunMS54
98,z0195703,337,2018,7,29,7/29/18,210,RunMS51
99,z0195704,302,2018,7,29,7/29/18,210,GTseq.val
100,z0195704,337,2018,7,29,7/29/18,210,RunMS54
101,z0195705,333,2018,7,29,7/29/18,210,RunMS54
102,z0195706,338,2018,7,30,7/30/18,211,RunMS51
103,z0195707,338,2018,7,30,7/30/18,211,RunMS51
104,z0195708,338,2018,7,30,7/30/18,211,RunMS51
105,z0195709,337,2018,7,30,7/30/18,211,RunMS51
106,z0195710,338,2018,7,30,7/30/18,211,RunMS51
107,z0195711,337,2018,7,30,7/30/18,211,RunMS54
108,z0195712,336,2018,7,30,7/30/18,211,RunMS51
109,z0195713,338,2018,7,30,7/30/18,211,RunMS51
110,z0195714,338,2018,7,30,7/30/18,211,RunMS51
111,z0195715,335,2018,7,30,7/30/18,211,RunMS51
112,z0195716,335,2018,7,30,7/30/18,211,RunMS54
113,z0195717,337,2018,7,30,7/30/18,211,RunMS51
114,z0195718,338,2018,7,30,7/30/18,211,RunMS54
115,z0195720,336,2018,7,30,7/30/18,211,RunMS51
116,z0195721,261,2018,7,30,7/30/18,211,RunMS51
117,z0195722,338,2018,7,30,7/30/18,211,RunMS51
118,z0195724,325,2018,7,31,7/31/18,212,RunMS54
119,z0195725,335,2018,7,31,7/31/18,212,RunMS54
120,z0195726,301,2018,7,31,7/31/18,212,GTseq.val
121,z0195726,334,2018,7,31,7/31/18,212,RunMS51
122,z0195727,337,2018,7,31,7/31/18,212,RunMS51
123,z0195728,335,2018,7,31,7/31/18,212,RunMS54
124,z0195729,336,2018,7,31,7/31/18,212,RunMS51
125,z0195730,337,2018,7,31,7/31/18,212,RunMS51
126,z0195731,336,2018,7,31,7/31/18,212,RunMS54
127,z0195732,326,2018,7,31,7/31/18,212,RunMS54
128,z0195733,338,2018,7,31,7/31/18,212,RunMS51
129,z0195735,338,2018,7,31,7/31/18,212,RunMS51
130,z0195736,324,2018,7,31,7/31/18,212,RunMS51
131,z0195737,338,2018,7,31,7/31/18,212,RunMS54
132,z0195738,337,2018,7,31,7/31/18,212,RunMS51
133,z0195739,337,2018,7,31,7/31/18,212,RunMS51
134,z0195740,334,2018,7,31,7/31/18,212,RunMS54
135,z0195741,338,2018,7,31,7/31/18,212,RunMS51
136,z0195742,338,2018,7,31,7/31/18,212,RunMS51
137,z0195743,338,2018,7,31,7/31/18,212,RunMS51
138,z0195748,338,2018,8,1,8/1/18,213,RunMS51
139,z0195749,72,2018,8,2,8/2/18,214,RunMS54
140,z0195750,43,2018,8,2,8/2/18,214,RunMS51
141,z0195751,97,2018,8,2,8/2/18,214,RunMS54
142,z0195753,55,2018,8,2,8/2/18,214,RunMS54
143,z0195754,196,2018,8,2,8/2/18,214,RunMS54
144,z0195755,40,2018,8,3,8/3/18,215,RunMS51
145,z0195756,130,2018,8,3,8/3/18,215,RunMS51
146,z0195757,56,2018,8,3,8/3/18,215,RunMS51
147,z0195758,157,2018,8,3,8/3/18,215,RunMS51
148,z0195759,257,2018,8,3,8/3/18,215,RunMS51
149,z0195760,30,2018,8,3,8/3/18,215,RunMS54
150,z0195761,31,2018,8,3,8/3/18,215,RunMS51
151,z0195762,301,2018,8,3,8/3/18,215,GTseq.val
152,z0195762,298,2018,8,3,8/3/18,215,RunMS54
153,z0195763,10,2018,8,3,8/3/18,215,RunMS51
154,z0195764,91,2018,8,3,8/3/18,215,RunMS54
155,z0195766,25,2018,8,4,8/4/18,216,RunMS51
156,z0195767,309,2018,8,4,8/4/18,216,GTseq.val
157,z0195767,104,2018,8,4,8/4/18,216,RunMS54
158,z0195769,34,2018,8,4,8/4/18,216,RunMS51
159,z0195770,35,2018,8,4,8/4/18,216,RunMS51
160,z0195771,290,2018,8,4,8/4/18,216,RunMS51
161,z0195772,309,2018,8,5,8/5/18,217,RunMS51
162,z0195773,261,2018,8,5,8/5/18,217,RunMS51
163,z0195775,118,2018,8,5,8/5/18,217,RunMS51
164,z0195776,239,2018,8,5,8/5/18,217,RunMS51
165,z0195777,225,2018,8,5,8/5/18,217,RunMS51
166,z0195778,105,2018,8,5,8/5/18,217,RunMS51
167,z0195779,34,2018,8,8,8/8/18,220,RunMS51
168,z0195780,261,2018,8,8,8/8/18,220,RunMS51
169,z0195781,277,2018,8,8,8/8/18,220,RunMS51
170,z0195782,315,2018,8,8,8/8/18,220,RunMS51
171,z0195783,300,2018,8,8,8/8/18,220,RunMS54
172,z0195784,316,2018,8,8,8/8/18,220,GTseq.val
173,z0195784,325,2018,8,8,8/8/18,220,RunMS54
174,z0195786,43,2018,8,8,8/8/18,220,RunMS51
175,z0195787,269,2018,8,8,8/8/18,220,RunMS51
176,z0195791,29,2018,9,21,9/21/18,264,RunMS51
177,z0196707,338,2018,4,24,4/24/18,114,RunMS51
178,z0196708,337,2018,4,24,4/24/18,114,RunMS51
179,z0196709,335,2018,4,25,4/25/18,115,RunMS51
180,z0196710,337,2018,4,25,4/25/18,115,RunMS54
181,z0196713,337,2018,6,7,6/7/18,158,RunMS54
182,z0196714,338,2018,6,8,6/8/18,159,RunMS51
183,z0196715,331,2018,6,8,6/8/18,159,RunMS54
184,z0196718,338,2018,8,7,8/7/18,219,RunMS51
185,z0196719,312,2018,8,7,8/7/18,219,GTseq.val
186,z0196719,336,2018,8,7,8/7/18,219,RunMS54
187,z0196721,333,2018,8,18,8/18/18,230,RunMS51
188,z0196722,337,2018,8,18,8/18/18,230,RunMS51
189,z0196723,329,2018,8,18,8/18/18,230,RunMS51
190,z0196724,331,2018,8,21,8/21/18,233,RunMS54
191,z0196725,338,2018,8,21,8/21/18,233,RunMS54
192,z0196726,337,2018,8,21,8/21/18,233,RunMS51
193,z0196727,335,2018,8,21,8/21/18,233,RunMS51
194,z0196728,338,2018,8,21,8/21/18,233,RunMS51
195,z0196729,308,2018,8,21,8/21/18,233,GTseq.val
196,z0196729,335,2018,8,21,8/21/18,233,RunMS54
197,z0196730,324,2018,8,21,8/21/18,233,GTseq.val
198,z0196730,338,2018,8,21,8/21/18,233,RunMS51
199,z0196731,338,2018,8,21,8/21/18,233,RunMS54
200,z0196732,337,2018,8,21,8/21/18,233,RunMS51
201,z0196733,320,2018,8,21,8/21/18,233,GTseq.val
202,z0196733,333,2018,8,21,8/21/18,233,RunMS51
203,z0196734,323,2018,8,21,8/21/18,233,GTseq.val
204,z0196734,337,2018,8,21,8/21/18,233,RunMS54
205,z0196736,336,2018,8,21,8/21/18,233,RunMS51
206,z0196737,337,2018,8,21,8/21/18,233,RunMS51
207,z0196738,334,2018,8,22,8/22/18,234,RunMS51
208,z0196739,310,2018,8,22,8/22/18,234,RunMS54
209,z0196740,311,2018,8,22,8/22/18,234,GTseq.val
210,z0196740,334,2018,8,22,8/22/18,234,RunMS54
211,z0196741,333,2018,8,22,8/22/18,234,RunMS51
212,z0196742,338,2018,8,22,8/22/18,234,RunMS51
213,z0196743,338,2018,8,22,8/22/18,234,RunMS51
214,z0196744,336,2018,8,22,8/22/18,234,RunMS51
215,z0196746,318,2018,8,22,8/22/18,234,GTseq.val
216,z0196746,336,2018,8,22,8/22/18,234,RunMS51
217,z0196747,335,2018,8,22,8/22/18,234,RunMS51
218,z0196748,336,2018,8,23,8/23/18,235,RunMS51
219,z0196749,338,2018,8,23,8/23/18,235,RunMS51
220,z0196750,333,2018,8,23,8/23/18,235,RunMS51
221,z0196751,338,2018,8,23,8/23/18,235,RunMS54
222,z0196752,337,2018,8,23,8/23/18,235,RunMS54
223,z0196753,335,2018,8,23,8/23/18,235,RunMS51
224,z0196754,338,2018,8,23,8/23/18,235,RunMS54
225,z0196755,337,2018,8,23,8/23/18,235,RunMS51
226,z0196756,337,2018,8,23,8/23/18,235,RunMS51
227,z0196757,336,2018,8,23,8/23/18,235,RunMS51
228,z0196758,335,2018,8,23,8/23/18,235,RunMS51
229,z0196759,334,2018,8,23,8/23/18,235,RunMS51
230,z0196760,336,2018,8,23,8/23/18,235,RunMS51
231,z0196761,336,2018,8,23,8/23/18,235,RunMS51
232,z0196762,336,2018,8,24,8/24/18,236,RunMS51
233,z0196763,301,2018,8,24,8/24/18,236,GTseq.val
234,z0196763,336,2018,8,24,8/24/18,236,RunMS54
235,z0196764,293,2018,8,24,8/24/18,236,GTseq.val
236,z0196764,337,2018,8,24,8/24/18,236,RunMS54
237,z0196765,336,2018,8,24,8/24/18,236,RunMS51
238,z0196766,338,2018,8,24,8/24/18,236,RunMS54
239,z0196767,336,2018,8,24,8/24/18,236,RunMS51
240,z0196768,337,2018,8,24,8/24/18,236,RunMS51
241,z0196769,338,2018,8,24,8/24/18,236,RunMS54
242,z0196770,336,2018,8,24,8/24/18,236,RunMS51
243,z0196772,338,2018,8,24,8/24/18,236,RunMS51
244,z0196773,336,2018,8,24,8/24/18,236,RunMS51
245,z0196774,322,2018,8,25,8/25/18,237,GTseq.val
246,z0196774,336,2018,8,25,8/25/18,237,RunMS54
247,z0196775,336,2018,8,25,8/25/18,237,RunMS51
248,z0196777,337,2018,8,25,8/25/18,237,RunMS51
249,z0196778,336,2018,8,25,8/25/18,237,RunMS51
250,z0196781,337,2018,8,27,8/27/18,239,RunMS51
251,z0196783,322,2018,8,28,8/28/18,240,GTseq.val
252,z0196783,338,2018,8,28,8/28/18,240,RunMS51
253,z0196792,162,2018,8,29,8/29/18,241,RunMS51
254,z0196793,334,2018,8,29,8/29/18,241,RunMS51
255,z0196794,319,2018,8,29,8/29/18,241,GTseq.val
256,z0196794,337,2018,8,29,8/29/18,241,RunMS51
257,z0196795,333,2018,8,29,8/29/18,241,RunMS51
258,z0196800,331,2018,8,30,8/30/18,242,RunMS51
259,z0196804,334,2018,8,31,8/31/18,243,RunMS51
260,z0196805,92,2018,8,31,8/31/18,243,RunMS51
261,z0196806,323,2018,9,2,9/2/18,245,RunMS51
262,z0196809,333,2018,9,3,9/3/18,246,RunMS54
263,z0196810,316,2018,9,3,9/3/18,246,GTseq.val
264,z0196810,60,2018,9,3,9/3/18,246,RunMS51
265,z0196811,271,2018,9,3,9/3/18,246,RunMS51
266,z0196812,327,2018,9,4,9/4/18,247,RunMS51
267,z0196822,336,2018,9,6,9/6/18,249,RunMS51
268,z0196823,337,2018,9,6,9/6/18,249,RunMS51
269,z0196824,338,2018,9,6,9/6/18,249,RunMS54
270,z0196825,336,2018,9,6,9/6/18,249,RunMS54
271,z0196826,338,2018,9,6,9/6/18,249,RunMS51
272,z0196828,306,2018,9,6,9/6/18,249,GTseq.val
273,z0196828,309,2018,9,6,9/6/18,249,RunMS54
274,z0196829,312,2018,9,6,9/6/18,249,RunMS54
275,z0196830,333,2018,9,6,9/6/18,249,RunMS51
276,z0196831,336,2018,9,6,9/6/18,249,RunMS51
277,z0196832,334,2018,9,6,9/6/18,249,RunMS51
278,z0196833,335,2018,9,6,9/6/18,249,RunMS51
279,z0196834,322,2018,9,6,9/6/18,249,GTseq.val
280,z0196834,314,2018,9,6,9/6/18,249,RunMS54
281,z0196835,338,2018,9,6,9/6/18,249,RunMS54
282,z0196838,315,2018,9,8,9/8/18,251,GTseq.val
283,z0196838,257,2018,9,8,9/8/18,251,RunMS51
284,z0196839,35,2018,9,8,9/8/18,251,RunMS51
285,z0196840,130,2018,9,8,9/8/18,251,RunMS51
286,z0196841,289,2018,9,8,9/8/18,251,RunMS54
287,z0196842,331,2018,9,8,9/8/18,251,RunMS51
288,z0196843,322,2018,9,8,9/8/18,251,GTseq.val
289,z0196843,319,2018,9,8,9/8/18,251,RunMS54
290,z0196844,208,2018,9,9,9/9/18,252,RunMS51
291,z0196845,304,2018,9,9,9/9/18,252,RunMS51
292,z0196846,100,2018,9,9,9/9/18,252,RunMS51
293,z0196847,292,2018,9,10,9/10/18,253,RunMS51
294,z0196848,337,2018,9,11,9/11/18,254,RunMS51
295,z0196849,322,2018,9,11,9/11/18,254,GTseq.val
296,z0196849,334,2018,9,11,9/11/18,254,RunMS54
297,z0196850,50,2018,9,11,9/11/18,254,RunMS51
298,z0196851,209,2018,9,14,9/14/18,257,RunMS51
299,z0196852,329,2018,9,24,9/24/18,267,GTseq.val
300,z0196852,337,2018,9,24,9/24/18,267,RunMS54
301,z0196854,336,2018,9,25,9/25/18,268,RunMS51
302,z0196855,329,2018,9,25,9/25/18,268,GTseq.val
303,z0196855,335,2018,9,25,9/25/18,268,RunMS54
304,z0196856,332,2018,9,25,9/25/18,268,GTseq.val
305,z0196856,335,2018,9,25,9/25/18,268,RunMS54
306,z0196857,331,2018,9,25,9/25/18,268,GTseq.val
307,z0196857,337,2018,9,25,9/25/18,268,RunMS54
308,z0196858,334,2018,9,25,9/25/18,268,RunMS51
309,z0196859,337,2018,9,25,9/25/18,268,RunMS51
310,z0196860,338,2018,9,25,9/25/18,268,RunMS51
311,z0196861,338,2018,9,25,9/25/18,268,RunMS51
312,z0196862,338,2018,9,25,9/25/18,268,RunMS51
313,z0196863,338,2018,9,26,9/26/18,269,RunMS51
314,z0196864,336,2018,9,26,9/26/18,269,RunMS54
315,z0196865,337,2018,9,26,9/26/18,269,RunMS51
316,z0196886,335,2018,10,2,10/2/18,275,RunMS51
317,z0196887,320,2018,10,2,10/2/18,275,RunMS51
318,z0196888,273,2018,10,22,10/22/18,295,RunMS51
319,z0196889,80,2018,10,25,10/25/18,298,RunMS51
320,z0196890,221,2018,10,25,10/25/18,298,RunMS54
321,z0196891,301,2018,11,12,11/12/18,316,RunMS51
322,z0196892,317,2018,11,12,11/12/18,316,RunMS51
323,z0196894,337,2018,11,13,11/13/18,317,RunMS54
324,z0196895,72,2018,11,17,11/17/18,321,RunMS51
325,z0197659,335,2018,10,2,10/2/18,275,RunMS51
326,z0197660,305,2018,10,2,10/2/18,275,RunMS51
327,z0197662,334,2018,10,2,10/2/18,275,GTseq.val
328,z0197662,334,2018,10,2,10/2/18,275,RunMS51
329,z0197663,334,2018,10,2,10/2/18,275,RunMS54
330,z0197664,150,2018,10,2,10/2/18,275,RunMS51
331,z0197665,265,2018,10,2,10/2/18,275,GTseq.val
332,z0197665,336,2018,10,2,10/2/18,275,RunMS51
333,z0197668,331,2018,10,3,10/3/18,276,RunMS54
334,z0197669,338,2018,10,12,10/12/18,285,RunMS54
335,z0197671,115,2018,10,13,10/13/18,286,RunMS51
336,z0197672,335,2018,10,13,10/13/18,286,RunMS54
337,z0197673,336,2018,10,14,10/14/18,287,RunMS51
338,z0197679,337,2018,10,21,10/21/18,294,RunMS51
339,z0197682,159,2018,10,21,10/21/18,294,RunMS51
